"Y1","Y2","T1","T2","S","Date","G","P","RR","GP","R","TS","W","Total.traps","meanAOI","Nummosquito.per.1000.traps","Totalrain","Meantemp"
157,49,"04","2020","Hong Kong Island & Kowloon",2020-04-01,0.042,-18.9619333333333,-27.1857,-3.96673333333333,16.1000666666667,-35.3905333333333,-23.0809666666667,3740,0.042,49,62.95,21.6555555555556
85,75,"04","2020","New Territories East",2020-04-01,0.0645,-18.9619333333333,-27.1857,-3.96673333333333,16.1000666666667,-35.3905333333333,-23.0809666666667,1320,0.0645,75,48.8333333333333,21.4766666666667
84,52,"04","2020","New Territories West",2020-04-01,0.0477333333333333,-18.9619333333333,-27.1857,-3.96673333333333,16.1000666666667,-35.3905333333333,-23.0809666666667,1760,0.0477333333333333,52,66.375,21.5786666666667
334,116,"05","2020","Hong Kong Island & Kowloon",2020-05-01,0.08928125,-14.8156451612903,-18.8019032258065,-0.691322580645161,11.4378064516129,-25.7557419354839,-12.6680967741935,3740,0.08928125,116,331.125,27.347311827957
159,141,"05","2020","New Territories East",2020-05-01,0.1111,-14.8156451612903,-18.8019032258065,-0.691322580645161,11.4378064516129,-25.7557419354839,-12.6680967741935,1430,0.1111,141,213.833333333333,27.3956989247312
220,151,"05","2020","New Territories West",2020-05-01,0.117666666666667,-14.8156451612903,-18.8019032258065,-0.691322580645161,11.4378064516129,-25.7557419354839,-12.6680967741935,1870,0.117666666666667,151,284.375,27.3690322580645
652,246,"06","2020","Hong Kong Island & Kowloon",2020-06-01,0.174205882352941,-18.9095,-13.9905333333333,0.861966666666667,8.3858,-19.2238,-6.72866666666667,3740,0.174205882352941,246,330.75,29.1342735042735
323,367,"06","2020","New Territories East",2020-06-01,0.22575,-18.9095,-13.9905333333333,0.861966666666667,8.3858,-19.2238,-6.72866666666667,1430,0.22575,367,408,29.1444444444444
326,268,"06","2020","New Territories West",2020-06-01,0.1744375,-18.9095,-13.9905333333333,0.861966666666667,8.3858,-19.2238,-6.72866666666667,1870,0.1744375,268,186.375,29.0446666666667
283,92,"07","2020","Hong Kong Island & Kowloon",2020-07-01,0.0757647058823529,-21.3364838709677,-23.1105806451613,9.96774193548387,12.516064516129,-26.4239032258065,-17.3732258064516,3740,0.0757647058823529,92,123.325,29.8645161290323
131,143,"07","2020","New Territories East",2020-07-01,0.0915833333333333,-21.3364838709677,-23.1105806451613,9.96774193548387,12.516064516129,-26.4239032258065,-17.3732258064516,1430,0.0915833333333333,143,62.3333333333333,30.2064516129032
113,66,"07","2020","New Territories West",2020-07-01,0.060625,-21.3364838709677,-23.1105806451613,9.96774193548387,12.516064516129,-26.4239032258065,-17.3732258064516,1870,0.060625,66,76.25,29.7008709677419
231,70,"08","2020","Hong Kong Island & Kowloon",2020-08-01,0.0617941176470588,-33.6866451612903,-34.8156451612903,7.94464516129032,17.1244193548387,-34.0599677419355,-27.7142580645161,3740,0.0617941176470588,70,459.2,28.7161290322581
108,96,"08","2020","New Territories East",2020-08-01,0.07525,-33.6866451612903,-34.8156451612903,7.94464516129032,17.1244193548387,-34.0599677419355,-27.7142580645161,1430,0.07525,96,458.666666666667,28.589247311828
94,58,"08","2020","New Territories West",2020-08-01,0.0504375,-33.6866451612903,-34.8156451612903,7.94464516129032,17.1244193548387,-34.0599677419355,-27.7142580645161,1870,0.0504375,58,271.125,28.012064516129
246,74,"09","2020","Hong Kong Island & Kowloon",2020-09-01,0.0658823529411765,-28.6952,-21.8476,13.1475666666667,10.4000333333333,-22.1429333333333,-13.8856,3740,0.0658823529411765,74,644.5,28.0733333333333
118,100,"09","2020","New Territories East",2020-09-01,0.08225,-28.6952,-21.8476,13.1475666666667,10.4000333333333,-22.1429333333333,-13.8856,1430,0.08225,100,452.666666666667,27.8233333333333
105,62,"09","2020","New Territories West",2020-09-01,0.056375,-28.6952,-21.8476,13.1475666666667,10.4000333333333,-22.1429333333333,-13.8856,1870,0.056375,62,190.875,27.6133333333333
158,47,"10","2020","Hong Kong Island & Kowloon",2020-10-01,0.0422352941176471,-15.2764838709677,-15.9262903225806,22.5944193548387,8.22587096774194,-15.3133225806452,-13.2949032258065,3740,0.0422352941176471,47,77.725,25.3924731182796
58,44,"10","2020","New Territories East",2020-10-01,0.04025,-15.2764838709677,-15.9262903225806,22.5944193548387,8.22587096774194,-15.3133225806452,-13.2949032258065,1430,0.04025,44,59.3333333333333,25.0322580645161
67,40,"10","2020","New Territories West",2020-10-01,0.0359375,-15.2764838709677,-15.9262903225806,22.5944193548387,8.22587096774194,-15.3133225806452,-13.2949032258065,1870,0.0359375,40,19.875,24.916935483871
77,22,"11","2020","Hong Kong Island & Kowloon",2020-11-01,0.0205588235294118,-14.9476666666667,-14.3857666666667,26.5666666666667,6.58103333333333,-13.6048333333333,-4.5572,3740,0.0205588235294118,22,2.75,23.4477777777778
24,17,"11","2020","New Territories East",2020-11-01,0.01675,-14.9476666666667,-14.3857666666667,26.5666666666667,6.58103333333333,-13.6048333333333,-4.5572,1430,0.01675,17,2.66666666666667,22.9544444444444
37,21,"11","2020","New Territories West",2020-11-01,0.02,-14.9476666666667,-14.3857666666667,26.5666666666667,6.58103333333333,-13.6048333333333,-4.5572,1870,0.02,21,0.375,23.1065714285714
31,8,"12","2020","Hong Kong Island & Kowloon",2020-12-01,0.00835294117647059,-20.9217419354839,-25.9538709677419,23.6958064516129,12.9032258064516,-24.7374516129032,-20.0922258064516,3740,0.00835294117647059,8,0.8,18.1688172043011
