"Date","District","Meantemp","Totalrain","meanAOI","meanADI","Number.of.Sites","Total.traps","Number.of.positive.traps","Nummosquito.per.1000.traps","Period","year","month","parks","retail_and_recreation","grocery_and_pharmacy","residential","transit_stations","workplaces","fittednum","predictednum","predictedmin","predictedmax","meanAOI_normal","fittednum_normal","predictednum_normal","predictedmin_normal","predictedmax_normal"
2020-04-01,"Hong Kong Island & Kowloon",21.6555555555556,62.95,0.042,1.16666666666667,68,3740,157,49,2020,2020,4,-18.9619333333333,-27.1857,-3.96673333333333,16.1000666666667,-35.3905333333333,-23.0809666666667,0.0396909163677887,0.0333672568361281,0.0229219474812411,0.0471352755097159,0.715529391511042,0.676190886599036,0.568458404293986,0.390507788892869,0.803016071527913
2020-04-01,"New Territories East",21.4766666666667,48.8333333333333,0.0645,1.17,24,1320,85,75,2020,2020,4,-18.9619333333333,-27.1857,-3.96673333333333,16.1000666666667,-35.3905333333333,-23.0809666666667,0.0671581024206075,0.0591208435357272,0.042219054679373,0.0805718704923897,1.09884870839196,1.14413324190604,1.00720717144615,0.71926129773579,1.37265574919824
2020-04-01,"New Territories West",21.5786666666667,66.375,0.0477333333333333,1.08,32,1760,84,52,2020,2020,4,-18.9619333333333,-27.1857,-3.96673333333333,16.1000666666667,-35.3905333333333,-23.0809666666667,0.0482773298132478,0.0424612696999715,0.0301962290344569,0.0580960808696269,0.813204832256994,0.822472581548836,0.723387773123973,0.514435461594119,0.989748890329058
2020-05-01,"Hong Kong Island & Kowloon",27.347311827957,331.125,0.08928125,1.303125,68,3740,334,116,2020,2020,5,-14.8156451612903,-18.8019032258065,-0.691322580645161,11.4378064516129,-25.7557419354839,-12.6680967741935,0.0968745141996518,0.110960428179745,0.0861082385376228,0.140014745827022,1.52103234490108,1.65039433805249,1.89036780136328,1.46697560773602,2.38534918771863
2020-05-01,"New Territories East",27.3956989247312,213.833333333333,0.1111,1.27,26,1430,159,141,2020,2020,5,-14.8156451612903,-18.8019032258065,-0.691322580645161,11.4378064516129,-25.7557419354839,-12.6680967741935,0.12934386834969,0.157074314651007,0.122325756764187,0.19711569384976,1.89274560468754,2.20355570037948,2.67598306629164,2.08399224532396,3.3581445827999
2020-05-01,"New Territories West",27.3690322580645,284.375,0.117666666666667,1.28,34,1870,220,151,2020,2020,5,-14.8156451612903,-18.8019032258065,-0.691322580645161,11.4378064516129,-25.7557419354839,-12.6680967741935,0.0950718604587674,0.104063035954565,0.0787032588976705,0.134229927548563,2.00461805716983,1.61968358247344,1.77286097131813,1.3408213083092,2.28679662812844
2020-06-01,"Hong Kong Island & Kowloon",29.1342735042735,330.75,0.174205882352941,1.41176470588235,68,3740,652,246,2020,2020,6,-18.9095,-13.9905333333333,0.861966666666667,8.3858,-19.2238,-6.72866666666667,0.179265986582608,0.20694379963139,0.153243185850731,0.269462159329525,2.96784354756295,3.05404957852572,3.52558026255313,2.61071436964255,4.59066892619778
2020-06-01,"New Territories East",29.1444444444444,408,0.22575,1.625,26,1430,323,367,2020,2020,6,-18.9095,-13.9905333333333,0.861966666666667,8.3858,-19.2238,-6.72866666666667,0.220418558312776,0.248932926399603,0.186289816106506,0.320479025263286,3.84597047937185,3.75514183112576,4.24092441318502,3.17371044674743,5.45981337949264
2020-06-01,"New Territories West",29.0446666666667,186.375,0.1744375,1.5375,34,1870,326,268,2020,2020,6,-18.9095,-13.9905333333333,0.861966666666667,8.3858,-19.2238,-6.72866666666667,0.172040554924951,0.196944097453585,0.144636663397967,0.258263747629419,2.97178948170732,2.93095413287315,3.35522119553941,2.46409008931749,4.39988814739618
2020-07-01,"Hong Kong Island & Kowloon",29.8645161290323,123.325,0.0757647058823529,1.21818181818182,68,3740,283,92,2020,2020,7,-21.3364838709677,-23.1105806451613,9.96774193548387,12.516064516129,-26.4239032258065,-17.3732258064516,0.075293268857394,0.0863233305162954,0.0722673941632866,0.102226340086731,1.29075890233364,1.28272730596211,1.47064000375075,1.23117725170822,1.74157025996808
2020-07-01,"New Territories East",30.2064516129032,62.3333333333333,0.0915833333333333,1.55833333333333,26,1430,131,143,2020,2020,7,-21.3364838709677,-23.1105806451613,9.96774193548387,12.516064516129,-26.4239032258065,-17.3732258064516,0.0943303114779031,0.109039454693502,0.0912111532340066,0.129071968934055,1.56025158982269,1.60705024697217,1.85764130160803,1.55391097553689,2.19892350934563
2020-07-01,"New Territories West",29.7008709677419,76.25,0.060625,1.09285714285714,34,1870,113,66,2020,2020,7,-21.3364838709677,-23.1105806451613,9.96774193548387,12.516064516129,-26.4239032258065,-17.3732258064516,0.0690369502567234,0.0809165823771223,0.0675286800920847,0.0960950142584487,1.03283260381802,1.17614207164218,1.37852840360608,1.15044655656746,1.63711445427602
2020-08-01,"Hong Kong Island & Kowloon",28.7161290322581,459.2,0.0617941176470588,1.13636363636364,68,3740,231,70,2020,2020,8,-33.6866451612903,-34.8156451612903,7.94464516129032,17.1244193548387,-34.0599677419355,-27.7142580645161,0.0519954228727379,0.0345452045840689,0.0269255805342682,0.0435648967493316,1.05275017616576,0.885815554511654,0.588526409896745,0.458715339423012,0.742189620530729
