"Date","District","Meantemp","Totalrain","meanAOI","meanADI","Number.of.Sites","Total.traps","Number.of.positive.traps","Nummosquito.per.1000.traps","Period","year","month","parks","retail_and_recreation","grocery_and_pharmacy","residential","transit_stations","workplaces","fittednum","predictednum","predictedmin","predictedmax"
2020-04-01,"Hong Kong Island & Kowloon",21.6555555555556,62.95,0.042,1.16666666666667,68,3740,157,49,"2020","2020","04",-18.9619333333333,-27.1857,-3.96673333333333,16.1000666666667,-35.3905333333333,-23.0809666666667,0.0455427401354283,0.0643172968242369,0.0462003212236886,0.0868807551349493
2020-04-01,"New Territories East",21.4766666666667,48.8333333333333,0.0645,1.17,24,1320,85,75,"2020","2020","04",-18.9619333333333,-27.1857,-3.96673333333333,16.1000666666667,-35.3905333333333,-23.0809666666667,0.0632257663018368,0.085769908572513,0.0623315067227416,0.114609531236792
2020-04-01,"New Territories West",21.5786666666667,66.375,0.0477333333333333,1.08,32,1760,84,52,"2020","2020","04",-18.9619333333333,-27.1857,-3.96673333333333,16.1000666666667,-35.3905333333333,-23.0809666666667,0.0471885352382022,0.0636165576643886,0.0462450947564904,0.0851544822977604
2020-05-01,"Hong Kong Island & Kowloon",27.347311827957,331.125,0.08928125,1.303125,68,3740,334,116,"2020","2020","05",-14.8156451612903,-18.8019032258065,-0.691322580645161,11.4378064516129,-25.7557419354839,-12.6680967741935,0.0960625127626024,0.103928181141712,0.0815093380922478,0.130258969874472
2020-05-01,"New Territories East",27.3956989247312,213.833333333333,0.1111,1.27,26,1430,159,141,"2020","2020","05",-14.8156451612903,-18.8019032258065,-0.691322580645161,11.4378064516129,-25.7557419354839,-12.6680967741935,0.132494247242291,0.159387963674826,0.12522760490875,0.198820643724348
2020-05-01,"New Territories West",27.3690322580645,284.375,0.117666666666667,1.28,34,1870,220,151,"2020","2020","05",-14.8156451612903,-18.8019032258065,-0.691322580645161,11.4378064516129,-25.7557419354839,-12.6680967741935,0.0940925750265653,0.095258420612045,0.0730149566147628,0.121860790359087
2020-06-01,"Hong Kong Island & Kowloon",29.1342735042735,330.75,0.174205882352941,1.41176470588235,68,3740,652,246,"2020","2020","06",-18.9095,-13.9905333333333,0.861966666666667,8.3858,-19.2238,-6.72866666666667,0.173224998712013,0.125889108097231,0.0935670452893507,0.164811048748729
2020-06-01,"New Territories East",29.1444444444444,408,0.22575,1.625,26,1430,323,367,"2020","2020","06",-18.9095,-13.9905333333333,0.861966666666667,8.3858,-19.2238,-6.72866666666667,0.219737473669687,0.160702843532107,0.120457487119299,0.208631195413673
2020-06-01,"New Territories West",29.0446666666667,186.375,0.1744375,1.5375,34,1870,326,268,"2020","2020","06",-18.9095,-13.9905333333333,0.861966666666667,8.3858,-19.2238,-6.72866666666667,0.173896354613869,0.12571815616627,0.0921255029157515,0.166450961064374
2020-07-01,"Hong Kong Island & Kowloon",29.8645161290323,123.325,0.0757647058823529,1.21818181818182,68,3740,283,92,"2020","2020","07",-21.3364838709677,-23.1105806451613,9.96774193548387,12.516064516129,-26.4239032258065,-17.3732258064516,0.0692492958122818,0.0599945335106381,0.0506946169179053,0.0715337240341092
2020-07-01,"New Territories East",30.2064516129032,62.3333333333333,0.0915833333333333,1.55833333333333,26,1430,131,143,"2020","2020","07",-21.3364838709677,-23.1105806451613,9.96774193548387,12.516064516129,-26.4239032258065,-17.3732258064516,0.0892630114677528,0.0796897316478661,0.0682073498934227,0.0940311760191224
2020-07-01,"New Territories West",29.7008709677419,76.25,0.060625,1.09285714285714,34,1870,113,66,"2020","2020","07",-21.3364838709677,-23.1105806451613,9.96774193548387,12.516064516129,-26.4239032258065,-17.3732258064516,0.0667060436176308,0.0594183506595353,0.0496558302880297,0.072089001765653
2020-08-01,"Hong Kong Island & Kowloon",28.7161290322581,459.2,0.0617941176470588,1.13636363636364,68,3740,231,70,"2020","2020","08",-33.6866451612903,-34.8156451612903,7.94464516129032,17.1244193548387,-34.0599677419355,-27.7142580645161,0.0592216126524975,0.0689855390715265,0.0589544434853268,0.0801306357366729
